Subject,Block,Trial,Direction,Velocity,Blink,BlinkDuration,ResponseError
213,1,1,-1,180,1,126,13.2
213,1,2,-1,240,1,147,21.312
213,1,3,-1,180,0,0,5.6228
213,1,4,-1,240,1,221,46.599
213,1,5,-1,240,1,201,22.373
213,1,6,1,180,1,329,39.356
213,1,7,1,180,1,201,3.8967
213,1,8,-1,180,1,230,28.659
213,1,9,-1,240,1,15,55.307
213,1,10,-1,240,1,346,34.065
213,1,11,-1,180,1,223,28.084
213,1,12,-1,240,1,0,28.58
213,1,13,-1,240,1,185,27.724
213,1,14,1,240,1,0,36.803
213,1,15,1,180,1,0,4.5833
213,1,16,1,240,1,0,37.741
213,1,17,-1,240,1,273,26.992
213,1,18,-1,180,1,279,0.84916
213,1,19,1,180,1,338,18.369
213,1,20,1,180,1,0,35.885
213,1,21,1,240,1,15,66.753
213,1,22,-1,180,1,341,61.934
213,1,23,-1,180,1,492,37.505
213,1,24,-1,180,1,111,7.1414
213,1,25,1,180,1,0,30.652
213,1,26,1,240,1,161,16.94
213,1,27,1,240,1,0,41.574
213,1,28,1,180,1,254,83.997
213,1,29,-1,180,1,0,24.789
213,1,30,-1,240,1,0,27.814
213,1,31,1,180,1,248,25.218
213,1,32,1,240,1,204,23.482
213,1,33,-1,180,1,0,76.744
213,1,34,-1,180,1,0,29.489
213,1,35,1,180,1,264,10.17
213,1,36,-1,240,1,0,16.361
213,1,37,1,240,1,239,36.587
213,1,38,1,180,1,0,27.818
213,1,39,1,240,1,233,24.272
213,1,40,-1,240,1,123,44.758
213,1,41,-1,240,1,283,81.698
213,1,42,1,240,0,0,-8.4246
213,1,43,1,180,1,0,12.71
213,1,44,1,240,1,317,4.8795
213,1,45,1,240,1,299,8.2832
213,1,46,-1,240,1,225,8.0265
213,1,47,-1,180,1,411,31.766
213,1,48,1,180,1,0,21.569
213,1,49,-1,240,1,0,23.95
213,1,50,1,240,1,169,22.122
213,1,51,1,180,1,0,3.519
213,1,52,-1,240,1,362,52.684
213,1,53,1,240,1,216,25.099
213,1,54,-1,240,1,0,33.77
213,1,55,-1,240,1,0,37.498
213,1,56,-1,180,1,0,43.395
213,1,57,1,240,1,236,27.504
213,1,58,1,240,1,192,41.731
213,1,59,-1,180,1,0,16.192
213,1,60,1,240,1,0,13.118
213,1,61,1,240,1,241,44.175
213,1,62,-1,180,1,0,56.087
213,1,63,-1,180,1,267,33.901
213,1,64,-1,180,1,0,20.463
213,1,65,1,180,1,239,7.2045
213,1,66,1,240,1,0,43.271
213,1,67,1,180,1,0,38.336
213,1,68,-1,240,1,382,48.967
213,1,69,-1,180,1,268,32.855
213,1,70,1,240,1,243,26.725
213,1,71,-1,180,1,193,-1.6928
213,1,72,-1,240,1,279,9.9435
213,1,73,1,180,1,0,45.136
213,1,74,1,180,1,154,5.7052
213,1,75,1,180,1,273,23.828
213,1,76,-1,240,1,210,35.302
213,1,77,1,180,1,183,22.821
213,1,78,-1,180,1,162,6.5515
213,1,79,1,240,1,15,18.294
213,1,80,1,180,1,241,-9.614
213,2,1,1,240,0,0,4.0576
213,2,2,-1,240,0,0,9.6781
213,2,3,-1,180,0,0,9.3074
213,2,4,1,240,0,0,9.4161
213,2,5,1,180,0,0,2.7308
213,2,6,-1,180,0,0,-6.324
213,2,7,1,240,0,0,-7.1216
213,2,8,1,240,0,0,-8.9253
213,2,9,1,180,0,0,6.0799
213,2,10,-1,240,0,0,23.965
213,2,11,-1,180,0,0,6.5565
213,2,12,1,180,0,0,-11.042
213,2,13,-1,180,0,0,9.0242
213,2,14,-1,240,0,0,11.595
213,2,15,-1,180,0,0,12.881
213,2,16,-1,180,0,0,14.615
213,2,17,-1,240,0,0,14.62
213,2,18,1,180,0,0,-2.1329
213,2,19,1,240,0,0,4.5867
213,2,20,1,240,0,0,22.048
213,2,21,-1,180,0,0,-1.3054
213,2,22,1,240,0,0,-0.51306
213,2,23,-1,180,0,0,-15.927
213,2,24,1,180,0,0,-5.7697
213,2,25,1,240,0,0,7.3765
213,2,26,1,240,0,0,-1.3091
213,2,27,1,240,0,0,-34.59
213,2,28,1,240,0,0,-25.591
213,2,29,-1,240,0,0,2.1004
213,2,30,-1,240,0,0,9.1775
213,2,31,1,180,0,0,5.8201
213,2,32,-1,240,0,0,15.887
213,2,33,1,180,0,0,-5.1039
213,2,34,-1,240,0,0,-8.6337
213,2,35,1,240,0,0,-18.921
213,2,36,-1,240,0,0,8.1387
213,2,37,-1,240,0,0,25.509
213,2,38,1,180,0,0,52.052
213,2,39,1,240,0,0,-9.9233
213,2,40,-1,180,0,0,7.1551
213,2,41,1,240,0,0,26.563
213,2,42,-1,240,0,0,-7.7577
213,2,43,-1,240,0,0,-12.299
213,2,44,1,180,0,0,-2.1533
213,2,45,-1,180,0,0,5.7775
213,2,46,-1,180,0,0,3.0273
213,2,47,1,180,0,0,-11.426
213,2,48,-1,240,0,0,5.2059
213,2,49,-1,180,0,0,2.56
213,2,50,-1,180,0,0,27.594
213,2,51,1,240,0,0,7.8878
213,2,52,-1,180,0,0,0.22462
213,2,53,1,180,0,0,10.475
213,2,54,1,240,1,0,45.545
213,2,55,-1,240,0,0,-1.0304
213,2,56,-1,240,0,0,-1.6915
213,2,57,-1,240,0,0,-0.89035
213,2,58,1,180,0,0,3.6434
213,2,59,-1,180,0,0,5.1077
213,2,60,-1,180,0,0,-21.108
213,2,61,1,180,0,0,-1.1776
213,2,62,1,180,0,0,-16.997
213,2,63,1,240,0,0,-1.4849
213,2,64,1,240,0,0,1.2422
213,2,65,-1,180,0,0,-13.362
213,2,66,-1,240,0,0,-0.024201
213,2,67,-1,240,0,0,7.1944
213,2,68,-1,240,0,0,4.7936
213,2,69,1,240,0,0,-12.026
213,2,70,-1,180,0,0,2.9889
213,2,71,-1,240,0,0,-14.636
213,2,72,1,180,0,0,-3.9406
213,2,73,-1,180,0,0,-6.9244
213,2,74,1,180,0,0,10.39
213,2,75,-1,180,0,0,2.2295
213,2,76,1,180,0,0,3.254
213,2,77,1,240,0,0,-3.0319
213,2,78,1,180,0,0,5.4731
213,2,79,1,180,0,0,-6.1648
213,2,80,1,180,0,0,-5.2863
213,3,1,1,240,1,109,3.8173
213,3,2,-1,180,1,87,16.219
213,3,3,-1,240,1,155,30.33
213,3,4,-1,240,1,192,-8.6132
213,3,5,1,240,1,235,10.53
213,3,6,1,180,1,0,36.653
213,3,7,1,240,1,203,4.464
213,3,8,-1,180,1,226,23.757
213,3,9,-1,240,1,245,10.118
213,3,10,-1,240,1,219,26.177
213,3,11,-1,240,1,0,-1.1845
213,3,12,1,240,1,462,8.5646
213,3,13,-1,240,1,213,6.3823
213,3,14,1,240,1,248,0.75609
213,3,15,-1,240,1,206,33.274
213,3,16,1,180,1,176,12.13
213,3,17,1,180,1,224,14.039
213,3,18,1,240,1,267,-21.727
213,3,19,-1,240,1,193,3.6772
213,3,20,1,180,1,290,-1.2724
213,3,21,-1,240,1,257,6.3533
213,3,22,1,180,1,238,-30.897
213,3,23,1,180,1,352,11.816
213,3,24,1,180,1,191,3.1346
213,3,25,1,180,1,0,4.289
213,3,26,1,240,1,0,16.207
213,3,27,-1,240,1,164,29.011
213,3,28,-1,180,1,333,-11.294
213,3,29,-1,180,1,300,34.61
213,3,30,-1,240,1,129,5.0646
213,3,31,-1,240,1,184,-1.3849
213,3,32,-1,180,1,223,-9.63
213,3,33,-1,180,1,244,9.1222
213,3,34,1,180,1,382,-0.22513
213,3,35,-1,240,1,213,28.238
213,3,36,1,240,1,198,-10.828
213,3,37,-1,180,1,258,27.771
213,3,38,1,180,1,0,8.802
213,3,39,-1,240,1,0,31.036
213,3,40,1,180,1,0,14.442
213,3,41,1,240,1,197,-8.0483
213,3,42,1,240,1,132,40.628
213,3,43,1,240,1,162,13.607
213,3,44,-1,180,1,96,19.619
213,3,45,-1,180,1,0,10.623
213,3,46,-1,180,1,238,-8.3165
213,3,47,1,180,1,0,-1.6979
213,3,48,-1,240,1,245,18.482
213,3,49,1,240,1,164,21.763
213,3,50,-1,180,1,289,37.878
213,3,51,1,180,1,0,12.509
213,3,52,1,180,1,263,-0.71738
213,3,53,-1,180,1,0,-1.0775
213,3,54,1,180,1,219,7.8652
213,3,55,-1,240,1,199,12.98
213,3,56,-1,180,1,248,63.141
213,3,57,1,240,1,383,8.2188
213,3,58,-1,180,0,0,4.6066
213,3,59,1,240,1,181,9.037
213,3,60,1,240,1,0,23.866
213,3,61,1,180,1,181,9.3163
213,3,62,-1,180,1,264,39.168
213,3,63,-1,180,1,0,31.517
213,3,64,1,180,1,122,-8.602
213,3,65,-1,180,1,159,11.09
213,3,66,1,180,1,179,21.682
213,3,67,1,180,1,323,0.98694
213,3,68,1,180,1,0,-10.711
213,3,69,-1,180,1,327,16.856
213,3,70,-1,240,1,0,58.61
213,3,71,1,240,1,0,-0.27889
213,3,72,-1,240,1,240,24.21
213,3,73,-1,180,1,204,47.455
213,3,74,-1,240,1,216,38.7
213,3,75,1,240,1,265,17.236
213,3,76,-1,180,1,168,27.462
213,3,77,1,240,1,192,12.47
213,3,78,1,240,1,191,17.427
213,3,79,1,240,1,194,19.716
213,3,80,-1,240,1,213,1.9307
213,4,1,1,240,0,0,-3.7977
213,4,2,1,180,0,0,-1.1652
213,4,3,-1,240,0,0,11.034
213,4,4,1,180,0,0,-0.15289
213,4,5,1,240,1,154,28.604
213,4,6,1,240,0,0,8.3147
213,4,7,-1,180,0,0,7.8675
213,4,8,1,240,0,0,25.835
213,4,9,1,180,0,0,1.9309
213,4,10,1,240,0,0,-7.6972
213,4,11,-1,240,0,0,-4.0641
213,4,12,-1,240,0,0,-0.43449
213,4,13,-1,180,0,0,11.02
213,4,14,-1,180,0,0,-1.1513
213,4,15,-1,240,0,0,2.212
213,4,16,-1,240,0,0,9.6586
213,4,17,1,180,0,0,-1.5771
213,4,18,1,240,0,0,19.495
213,4,19,1,180,0,0,1.4474
213,4,20,1,180,0,0,-12.155
213,4,21,-1,180,0,0,2.7212
213,4,22,-1,240,0,0,5.775
213,4,23,1,240,0,0,2.3187
213,4,24,-1,240,0,0,-7.1861
213,4,25,1,240,0,0,-2.164
213,4,26,1,180,0,0,2.3453
213,4,27,-1,180,0,0,-5.6921
213,4,28,1,180,0,0,18.113
213,4,29,1,240,0,0,20.383
213,4,30,-1,180,0,0,10.574
213,4,31,-1,180,0,0,2.2774
213,4,32,-1,240,0,0,6.5955
213,4,33,1,180,0,0,-5.1373
213,4,34,-1,180,0,0,4.2752
213,4,35,1,180,0,0,-2.8481
213,4,36,-1,240,0,0,10.52
213,4,37,-1,180,0,0,-1.1125
213,4,38,1,240,0,0,-12.525
213,4,39,-1,240,0,0,13.226
213,4,40,-1,180,1,127,69.444
213,4,41,-1,180,0,0,18.717
213,4,42,-1,180,0,0,-11.209
213,4,43,1,180,0,0,15.791
213,4,44,1,180,0,0,-11.5
213,4,45,1,240,0,0,4.4093
213,4,46,-1,240,0,0,4.0157
213,4,47,1,240,1,0,17.164
213,4,48,-1,180,0,0,12.657
213,4,49,-1,240,0,0,-3.7462
213,4,50,1,180,0,0,7.0936
213,4,51,-1,180,0,0,48.692
213,4,52,1,240,0,0,-6.8352
213,4,53,1,240,0,0,9.5263
213,4,54,1,240,0,0,3.4946
213,4,55,1,240,0,0,-13.052
213,4,56,-1,240,0,0,22.4
213,4,57,-1,180,0,0,-6.4908
213,4,58,-1,180,0,0,14.536
213,4,59,-1,240,0,0,14.297
213,4,60,-1,240,0,0,-0.085917
213,4,61,-1,240,0,0,28.295
213,4,62,-1,240,0,0,8.4924
213,4,63,1,180,0,0,-8.012
213,4,64,1,240,0,0,-7.3282
213,4,65,1,180,0,0,-3.8252
213,4,66,1,180,0,0,6.7442
213,4,67,1,240,0,0,1.6534
213,4,68,1,180,0,0,4.5519
213,4,69,1,240,0,0,-17.115
213,4,70,-1,180,0,0,7.8904
213,4,71,-1,240,0,0,0.92705
213,4,72,-1,180,0,0,-12.77
213,4,73,1,180,0,0,9.3975
213,4,74,-1,180,0,0,6.8221
213,4,75,-1,240,0,0,2.3961
213,4,76,1,180,0,0,26.904
213,4,77,-1,180,0,0,23.276
213,4,78,1,240,0,0,5.201
213,4,79,-1,240,0,0,-3.1657
213,4,80,1,180,0,0,-4.6117
222,1,1,-1,240,1,146,11.03
222,1,2,1,180,0,0,-14.922
222,1,3,1,180,1,0,6.1474
222,1,4,-1,240,1,238,40.681
222,1,5,-1,240,1,310,27.594
222,1,6,1,240,1,0,8.4592
222,1,7,-1,180,1,220,-19.644
222,1,8,-1,240,0,0,2.8308
222,1,9,-1,180,1,162,-4.3622
222,1,10,-1,240,1,239,-7.2918
222,1,11,-1,240,1,150,-5.0655
222,1,12,1,240,1,0,0.42566
222,1,13,-1,240,1,15,-4.0156
222,1,14,-1,180,1,180,-4.4191
222,1,15,1,240,1,230,10.126
222,1,16,1,180,0,0,6.8601
222,1,17,-1,180,1,0,-0.82215
222,1,18,-1,180,1,0,22.923
222,1,19,1,240,0,0,13.001
222,1,20,1,180,0,0,-1.332
222,1,21,1,240,1,0,15.811
222,1,22,-1,180,1,129,-3.5142
222,1,23,-1,240,1,0,10.205
222,1,24,-1,180,1,0,-6.7482
222,1,25,-1,180,1,166,-6.1661
222,1,26,-1,240,1,202,-2.468
222,1,27,1,240,1,340,29.414
222,1,28,1,180,1,0,-7.7864
222,1,29,-1,240,1,0,41.623
222,1,30,-1,240,1,0,9.8493
222,1,31,-1,180,0,0,-3.5627
222,1,32,1,180,0,0,11.315
222,1,33,-1,240,1,245,6.3019
222,1,34,1,240,1,0,7.117
222,1,35,-1,240,1,0,19.417
222,1,36,1,180,1,27,-5.7867
222,1,37,-1,180,1,15,5.854
222,1,38,1,240,1,196,6.1432
222,1,39,1,240,1,0,21.714
222,1,40,1,180,1,175,13.44
222,1,41,1,240,1,0,10.931
222,1,42,-1,240,1,0,21.965
222,1,43,1,240,1,100,2.9364
222,1,44,-1,240,1,174,20.247
222,1,45,1,240,1,167,1.0792
222,1,46,1,180,1,252,6.6224
222,1,47,-1,180,1,0,-3.7212
222,1,48,-1,240,1,0,30.363
222,1,49,1,180,1,0,-3.4597
222,1,50,-1,180,1,0,19.84
222,1,51,1,240,1,164,3.2826
222,1,52,1,180,1,0,-5.546
222,1,53,-1,180,0,0,43.98
222,1,54,-1,180,1,222,4.5847
222,1,55,-1,240,1,0,-0.625
222,1,56,1,180,1,0,-6.7333
222,1,57,1,240,1,0,20.576
222,1,58,-1,180,0,0,1.9243
222,1,59,1,240,1,0,-8.1706
222,1,60,-1,180,0,0,-0.94431
222,1,61,-1,180,1,0,16.666
222,1,62,-1,240,1,0,41.819
222,1,63,1,240,1,0,53.565
222,1,64,1,180,1,15,7.6013
222,1,65,1,240,1,0,21.099
222,1,66,1,180,1,0,-11.039
222,1,67,1,180,1,0,7.2973
222,1,68,1,180,1,0,40.029
222,1,69,1,180,1,0,8.234
222,1,70,-1,180,1,442,31.087
222,1,71,-1,240,1,0,1.4741
222,1,72,1,240,1,0,-12.098
222,1,73,-1,180,1,0,-9.5794
222,1,74,-1,180,1,0,47.381
222,1,75,1,180,0,0,5.6068
222,1,76,1,180,0,0,-4.3569
222,1,77,1,180,1,0,19.437
222,1,78,1,240,1,0,4.4685
222,1,79,-1,240,1,0,3.0117
222,1,80,1,240,1,261,2.2927
222,2,1,-1,240,0,0,-9.0098
222,2,2,-1,240,0,0,6.9442
222,2,3,1,240,0,0,-1.5308
222,2,4,-1,180,0,0,-4.025
222,2,5,-1,240,0,0,7.8211
222,2,6,-1,240,0,0,25.43
222,2,7,-1,180,0,0,24.989
222,2,8,-1,240,0,0,5.381
222,2,9,1,180,0,0,7.5521
222,2,10,1,180,0,0,-12.255
222,2,11,1,240,0,0,-21.114
222,2,12,1,240,0,0,7.3477
222,2,13,1,240,0,0,-3.6378
222,2,14,-1,240,0,0,-7.0886
222,2,15,-1,240,0,0,-2.3359
222,2,16,-1,240,0,0,6.1902
222,2,17,1,240,0,0,6.6074
222,2,18,1,180,0,0,-25.154
222,2,19,1,180,0,0,3.1313
222,2,20,-1,180,0,0,18.266
222,2,21,1,180,0,0,-4.8573
222,2,22,-1,180,0,0,2.8755
222,2,23,1,180,1,15,-17.477
222,2,24,-1,180,0,0,-1.142
222,2,25,-1,180,0,0,-3.7394
222,2,26,-1,180,0,0,10.919
222,2,27,-1,240,0,0,2.8556
222,2,28,-1,180,0,0,1.8768
222,2,29,1,240,0,0,-2.7174
222,2,30,-1,180,0,0,-0.066173
222,2,31,-1,180,1,15,1.8257
222,2,32,-1,240,0,0,-0.74154
222,2,33,-1,180,0,0,4.2698
222,2,34,1,180,1,15,0.64973
222,2,35,1,240,0,0,6.8953
222,2,36,1,240,0,0,4.4937
222,2,37,1,180,0,0,-4.3669
222,2,38,1,180,0,0,1.2591
222,2,39,-1,240,1,15,-5.4624
222,2,40,-1,180,0,0,0.4053
222,2,41,1,180,0,0,0.34556
222,2,42,-1,240,0,0,-7.1768
222,2,43,-1,240,0,0,3.6532
222,2,44,1,180,1,98,-23.534
222,2,45,1,180,0,0,2.671
